ID,filename,band_abbrev,abbrev_type,date_format,date_parsed,mics_etc
ec60e1da9e0c284899bcc3d9397f71c81756c2df,jg+ms1974-11-07ad1t02.shn,jg+ms,assigned,yyyy-mm-dd,1974-11-07 00:00:00,ad1t02
e095ae49a0aa7ade948bc1505d204bf0bf794cab,gd92-12-11d1t01.flac,gd,canonical,yy-mm-dd,1992-12-11 00:00:00,d1t01
b0ca0cb631336dbdc71d4cce31260d297b97e50e,gd92-12-11s1t01.flac,gd,canonical,yy-mm-dd,1992-12-11 00:00:00,s1t01
55a93f1be035d4e654f8d483402eb58a051cf100,dc2016-07-03set1t01.flac,dc,assigned,yyyy-mm-dd,2016-07-03 00:00:00,set1t01
263fd21355ab8521d30c9e0158167d3e742b4966,gd80-09-04d1t01.shn,gd,canonical,yy-mm-dd,1980-09-04 00:00:00,d1t01
c8effe1d9dd5e698adc9b1b2d0d4d60a71aa7cec,gd1980-09-04d1t01.shn,gd,canonical,yyyy-mm-dd,1980-09-04 00:00:00,d1t01
c080bfaf95df3d7fc4f480054e4b868ae04f39fc,gd80-09-04d1t01.flac,gd,canonical,yy-mm-dd,1980-09-04 00:00:00,d1t01
c10a1d0c40a3a2defb16ded52da3762eead7f7fd,deadandco2016-07-03akg481fobset1t01.flac,deadandco,assigned,yyyy-mm-dd,2016-07-03 00:00:00,akg481fobset1t01
ba73d861e3f6a1b5f7c3c6edef042029a14ee1f2,04 Black Magic Woman_Gypsy Queen.flac,,blank,otros,,
394c877f5fa597c0bdc08b80100c22b9b447af54,jg+ms1974-11-07_48k_d1t01.flac,jg+ms,assigned,yyyy-mm-dd,1974-11-07 00:00:00,_48k_d1t01
0140111caca68f331e53d9651a3eadf6b7b0f999,It's No Use.flac,it's no use,notband,otros,,
c65476ab9a67ca73db5e0cd5d90268e466c57ed4,gd1992-12-12d1t05.shn,gd,canonical,yyyy-mm-dd,1992-12-12 00:00:00,d1t05
c3dde5d0a4d40335aed2c291d685c29ac125964c,gd1992-12-12d1tr01.flac,gd,canonical,yyyy-mm-dd,1992-12-12 00:00:00,d1tr01
5178afc019031e66162eb54e11ece20b3a1d03b6,too07-25-1998(BRUNO)d1t01.shn,too,canonical,yy-mm-dd,2019-07-25 00:00:00,98(BRUNO)d1t01
f704e684bd9817702d272c0d06cd118d695b0517,01 Tweezer.flac,tweezer,assigned,otros,,
d9c523c18a85fb059f3a29dd8cb253b78956d5e4,MS_JGB_2016-07-04_S101.flac,ms_jgb,assigned,yyyy-mm-dd,2016-07-04 00:00:00,_S101
68abaaf69a3909b6a5ffadc3be2c235e011a7dcb,01 Without God.flac,,blank,otros,,
3454198bec61024c154c47fd3791749c033ee879,03TransitAndSidinglyrics.flac,,blank,otros,,
5f0fb5d15bd5007d8bf2165851b3162215466aad,jg+ms1974-11-08d1t03.shn,jg+ms,assigned,yyyy-mm-dd,1974-11-08 00:00:00,d1t03
af33a03daefd2f5b0182e4231839ddc543169dc8,jg+ms1974-11-08-new-d2t05.shn,jg+ms,assigned,yyyy-mm-dd,1974-11-08 00:00:00,-new-d2t05
b8f23d305e712f032165953145b287eea4702527,gd92-12-12d1t01.flac,gd,canonical,yy-mm-dd,1992-12-12 00:00:00,d1t01
4c8b66dba6f72665822cf3a9d00b912d47e6d0e6,gd1992-12-13d1t01.shn,gd,canonical,yyyy-mm-dd,1992-12-13 00:00:00,d1t01
bfca9a4d4890d21e7b9633b3dee210d75acb40a9,youngbloods1972-08-05d1t01.flac,youngbloods,assigned,yyyy-mm-dd,1972-08-05 00:00:00,d1t01
c33f5c5ee978797816d0e3feccc071cb3e77cba3,oakhurst2016-06-11t01.sbd.cm300s.cp1s.mtx.16bit.flac,oakhurst,assigned,yyyy-mm-dd,2016-06-11 00:00:00,t01.sbd.cm300s.cp1s.mtx.16bit
