ID,Source,Sample File Name
93f411f76c3f5ee5ea3c5ad757b1be7262b7f9f9,LosslessLegs,headforthehills2016-06-11t01.sbd.cm300s.cp1s.mtx.16bit.flac
4ba1b873af905be5ca2343fa11e453ee5cbe03ce,LosslessLegs,jg+ms 1974-11-8d1t01.shn
fddc47a8860b02783b122da3eaeada7033971848,LosslessLegs,jg+ms1974-11-09bd1t03.shn
ecd105f67091e529083d693020aaa1aa81490e25,LosslessLegs,gd1992-12-13d1t05fixed.shn
8e314c2abe6a89069ca5796feb8f8f19001aee1a,LosslessLegs,08.flac
41ad28b4ad1d8e26f4372da9cb0c31615d7bb403,LosslessLegs,Track 13.shn
f02aacdbdde76287ca5cd17f487418e2992149c6,LosslessLegs,gd80-09-06d1t01.shn
07c3ebed47a6cb17afafb71ed4d6d943f7382eac,LosslessLegs,gd80-09-06audd1t01.flac
15671280634a3e87f1a6d032e09bb26fadabc83d,LosslessLegs,gd80-09-06d1t01.flac
ddbaea0b694a4c0deaa8f75156446b8e7adea2d6,LosslessLegs,JG MS 201.flac
0a0c56b4e0a8ed0a6553d0d266ba59170a6e8d92,LosslessLegs,gd92-12-13s1t01.flac
acd541a48ea3a4f6c007f29b821cc3860b38361b,LosslessLegs,gd92-12-13d1t01.flac
d810699ee2e9436f5ac4a54e86a07d3065613403,LosslessLegs,deadandco2016-07-07akg481set1t01.flac
05538cc38f68fd8cf4da7d4d7cba07190a6fa430,LosslessLegs,deadandco2016-06-25s1t01.spyder9.flac16.flac
0adf1d1ecfe11bf43ccc6140a01d0f0487dd9c9e,LosslessLegs,wxrt maniacs 2013-01-1301.flac
d65bf36f137ef314aae684d386e058316014639a,LosslessLegs,01 Tomorrow Is A Long Time.flac
7cd296e8e11e7513d537c759db93af919f731919,LosslessLegs,gd80-09-27d1t01.flac
5cbd012fe8f980c8bbe268f6001e75cafb62993d,LosslessLegs,gd80-10-23audd1t01.flac
2205d2d513a8e5b38d4b6dbb7df927235b9e98ee,LosslessLegs,gd80-10-23audd1t01.flac
dd92a3c933a58ab153701ad979446797e6ffcb0b,LosslessLegs,gd80-10-23s1t01.flac
656804b27f254414ed5fa6532d4fec219e5a6b04,LosslessLegs,lhb20090725.01.the shape i'm in .flac
64cd7c0dc856648b63fb47574595c70d301beead,LosslessLegs,gd1981-05-01s1t01.flac
3c39e32bf0918ec3190ecda08442eba0d8b2faa8,LosslessLegs,1997June22BeauSolielD1tr01.flac
9be5233045898c03b0e07ff79cd940316bf379fe,LosslessLegs,01 When The Saints Go Marching.flac
