rownumber,filename,filetype,band,abbrev_type,date,date_format,mics_etc,score
127,gd1982-02-19s1t01.flac,flac,gd,canonical,1982-02-19 00:00:00,yyyy-mm-dd,s1t01,4
387,bs2016-06-25.late.t01.flac,flac,bs,canonical,2016-06-25 00:00:00,yyyy-mm-dd,late.t01,4
386,bs2016-06-25.late.t01.flac,flac,bs,canonical,2016-06-25 00:00:00,yyyy-mm-dd,late.t01,4
2689,pj1998-08-26d2t03.flac,flac,pj,canonical,1998-08-26 00:00:00,yyyy-mm-dd,d2t03,4
2601,gd1969-12-26t01.flac,flac,gd,canonical,1969-12-26 00:00:00,yyyy-mm-dd,t01,4
2049,nmas2016-07-20t09.flac,flac,nmas,canonical,2016-07-20 00:00:00,yyyy-mm-dd,t09,4
2739,pj1998-08-29d1t08.shn,shn,pj,canonical,1998-08-29 00:00:00,yyyy-mm-dd,d1t08,4
574,dmb2016-07-02t01.flac,flac,dmb,canonical,2016-07-02 00:00:00,yyyy-mm-dd,t01,4
111,gd1993-03-14.nak300.t01.flac,flac,gd,canonical,1993-03-14 00:00:00,yyyy-mm-dd,nak300.t01,4
59,gd1980-09-04d1t01.shn,shn,gd,canonical,1980-09-04 00:00:00,yyyy-mm-dd,d1t01,4
66,gd1992-12-12d1tr01.flac,flac,gd,canonical,1992-12-12 00:00:00,yyyy-mm-dd,d1tr01,4
75,gd1992-12-13d1t01.shn,shn,gd,canonical,1992-12-13 00:00:00,yyyy-mm-dd,d1t01,4
81,gd1992-12-13d1t05fixed.shn,shn,gd,canonical,1992-12-13 00:00:00,yyyy-mm-dd,d1t05fixed,4
99,gd1981-05-01s1t01.flac,flac,gd,canonical,1981-05-01 00:00:00,yyyy-mm-dd,s1t01,4
105,gd1980-10-26-d1t01.shn,shn,gd,canonical,1980-10-26 00:00:00,yyyy-mm-dd,d1t01,4
109,gd1992-12-16d1t01.shn,shn,gd,canonical,1992-12-16 00:00:00,yyyy-mm-dd,d1t01,4
65,gd1992-12-12d1t05.shn,shn,gd,canonical,1992-12-12 00:00:00,yyyy-mm-dd,d1t05,4
278,wsp2016-06-29s2t01.flac,flac,wsp,canonical,2016-06-29 00:00:00,yyyy-mm-dd,s2t01,4
283,wsp2016-06-25s2t09.flac,flac,wsp,canonical,2016-06-25 00:00:00,yyyy-mm-dd,s2t09,4
295,wsp2016-06-26s1t01the take out.flac,flac,wsp,canonical,2016-06-26 00:00:00,yyyy-mm-dd,s1t01the take out,4
362,gd1987-07-04-24bits01t01.flac,flac,gd,canonical,1987-07-04 00:00:00,yyyy-mm-dd,24bits01t01,4
379,sci2016-07-04s1t05.flac,flac,sci,canonical,2016-07-04 00:00:00,yyyy-mm-dd,s1t05,4
360,sci2016-07-03s2t05.flac,flac,sci,canonical,2016-07-03 00:00:00,yyyy-mm-dd,s2t05,4
457,mmw2001-06-29d1t01.flac,flac,mmw,canonical,2001-06-29 00:00:00,yyyy-mm-dd,d1t01,4
479,gd1981-05-01s1t01.flac,flac,gd,canonical,1981-05-01 00:00:00,yyyy-mm-dd,s1t01,4
2748,pj1998-08-31d1t03.shn,shn,pj,canonical,1998-08-31 00:00:00,yyyy-mm-dd,d1t03,4
124,gd1980-11-28d1t01.flac,flac,gd,canonical,1980-11-28 00:00:00,yyyy-mm-dd,d1t01,4
118,gd1992-12-17d3t03.shn,shn,gd,canonical,1992-12-17 00:00:00,yyyy-mm-dd,d3t03,4
538,dmb2016-06-28t01.flac,flac,dmb,canonical,2016-06-28 00:00:00,yyyy-mm-dd,t01,4
551,dmb2016-07-01t01.flac,flac,dmb,canonical,2016-07-01 00:00:00,yyyy-mm-dd,t01,4
552,dmb2016-07-01t01.flac,flac,dmb,canonical,2016-07-01 00:00:00,yyyy-mm-dd,t01,4
2815,pj1998-09-06d1t01.flac,flac,pj,canonical,1998-09-06 00:00:00,yyyy-mm-dd,d1t01,4
2774,pj1998-09-04d1t03.flac,flac,pj,canonical,1998-09-04 00:00:00,yyyy-mm-dd,d1t03,4
2767,pj1998-09-03d2t01.flac,flac,pj,canonical,1998-09-03 00:00:00,yyyy-mm-dd,d2t01,4
2757,pj1998-09-01d1t12.flac,flac,pj,canonical,1998-09-01 00:00:00,yyyy-mm-dd,d1t12,4
17,gd1988-03-16s1t01.flac,flac,gd,canonical,1988-03-16 00:00:00,yyyy-mm-dd,s1t01,4
480,gd1981-05-01s1t01.flac,flac,gd,canonical,1981-05-01 00:00:00,yyyy-mm-dd,s1t01,4
40,gd1992-12-11d1t01.flac,flac,gd,canonical,1992-12-11 00:00:00,yyyy-mm-dd,d1t01,4
43,gd1980-08-31d1t001.flac,flac,gd,canonical,1980-08-31 00:00:00,yyyy-mm-dd,d1t001,4
48,gd1980-09-03d1t01.shn,shn,gd,canonical,1980-09-03 00:00:00,yyyy-mm-dd,d1t01,4
357,gd1974-10-18.bear.gems.track.22.flac,flac,gd,canonical,1974-10-18 00:00:00,yyyy-mm-dd,bear.gems.track.22,4
461,um2016-07-07set1t01.flac,flac,um,canonical,2016-07-07 00:00:00,yyyy-mm-dd,set1t01,4
537,dmb2016-06-28t01.flac,flac,dmb,canonical,2016-06-28 00:00:00,yyyy-mm-dd,t01,4
534,gd1982-02-19s1t01.flac,flac,gd,canonical,1982-02-19 00:00:00,yyyy-mm-dd,s1t01,4
482,um2016-07-07t13.flac,flac,um,canonical,2016-07-07 00:00:00,yyyy-mm-dd,t13,4
481,um2016-07-07t13.flac,flac,um,canonical,2016-07-07 00:00:00,yyyy-mm-dd,t13,4
306,wsp2016-06-30s1t12.flac,flac,wsp,canonical,2016-06-30 00:00:00,yyyy-mm-dd,s1t12,4
310,wsp2016-06-26s1t01.flac,flac,wsp,canonical,2016-06-26 00:00:00,yyyy-mm-dd,s1t01,4
318,wsp2016-06-26t01.flac,flac,wsp,canonical,2016-06-26 00:00:00,yyyy-mm-dd,t01,4
413,desertdwellers2016-07-02.mk4.psp2.zoomf8.16bit-t01.flac,flac,desertdwellers,notfound,2016-07-02 00:00:00,yyyy-mm-dd,mk4.psp2.zoomf8.16bit-t01,4
223,ttb2016-07-23s1t01.flac,flac,ttb,notfound,2016-07-23 00:00:00,yyyy-mm-dd,s1t01,4
291,jerryjoseph2016-06-17s1t01.flac,flac,jerryjoseph,notfound,2016-06-17 00:00:00,yyyy-mm-dd,s1t01,4
294,johnprine2016-06-16d01t07.flac,flac,johnprine,notfound,2016-06-16 00:00:00,yyyy-mm-dd,d01t07,4
301,johnprine2016-06-16t12.flac,flac,johnprine,notfound,2016-06-16 00:00:00,yyyy-mm-dd,t12,4
341,halfmoon2015-06-27t01.ca14s.omnis.16bit.flac,flac,halfmoon,notfound,2015-06-27 00:00:00,yyyy-mm-dd,t01.ca14s.omnis.16bit,4
364,bsb2016-06-24t01.flac,flac,bsb,notfound,2016-06-24 00:00:00,yyyy-mm-dd,t01,4
363,bsb2016-06-24t01.flac,flac,bsb,notfound,2016-06-24 00:00:00,yyyy-mm-dd,t01,4
359,deanmonkey&amp;thedropouts2015-07-24t01.ca14s.omnis.16bit.flac,flac,deanmonkey&amp;thedropouts,notfound,2015-07-24 00:00:00,yyyy-mm-dd,t01.ca14s.omnis.16bit,4
344,blair2016-06-03d02t09.flac,flac,blair,notfound,2016-06-03 00:00:00,yyyy-mm-dd,d02t09,4
343,floodwood2016-07-01set2t01.flac,flac,floodwood,notfound,2016-07-01 00:00:00,yyyy-mm-dd,set2t01,4
342,katie2016-07-03d01t01.flac,flac,katie,notfound,2016-07-03 00:00:00,yyyy-mm-dd,d01t01,4
340,deanmonkey&amp;thedropouts2015-11-21t01.cm300s.cp1s.16bit.flac,flac,deanmonkey&amp;thedropouts,notfound,2015-11-21 00:00:00,yyyy-mm-dd,t01.cm300s.cp1s.16bit,4
312,timobrien2016-06-18d01t14.flac,flac,timobrien,notfound,2016-06-18 00:00:00,yyyy-mm-dd,d01t14,4
289,bloodkin2016-06-17s1t10.flac,flac,bloodkin,notfound,2016-06-17 00:00:00,yyyy-mm-dd,s1t10,4
365,deanmonkey&amp;thedropouts2016-02-19t01.ca14s.cards.omnis.mtx.16bit.flac,flac,deanmonkey&amp;thedropouts,notfound,2016-02-19 00:00:00,yyyy-mm-dd,t01.ca14s.cards.omnis.mtx.16bit,4
401,greenskybluegrass2016-06-17t01.flac,flac,greenskybluegrass,notfound,2016-06-17 00:00:00,yyyy-mm-dd,t01,4
684,ttb2016.07.20.mg21t01.flac,flac,ttb,notfound,2016-07-20 00:00:00,yyyy-mm-dd,mg21t01,4
399,nephrok2016-06-26t11.flac,flac,nephrok,notfound,2016-06-26 00:00:00,yyyy-mm-dd,t11,4
398,dubapocalypse2016-06-26set1t04.flac,flac,dubapocalypse,notfound,2016-06-26 00:00:00,yyyy-mm-dd,set1t04,4
383,pigeons2016-06-30s1t08.flac,flac,pigeons,notfound,2016-06-30 00:00:00,yyyy-mm-dd,s1t08,4
382,pigeons2016-06-30s1t08.flac,flac,pigeons,notfound,2016-06-30 00:00:00,yyyy-mm-dd,s1t08,4
228,loslobos2016-07-23s1t01.flac,flac,loslobos,notfound,2016-07-23 00:00:00,yyyy-mm-dd,s1t01,4
253,levon1978-03-17.d1t01.flac,flac,levon,notfound,1978-03-17 00:00:00,yyyy-mm-dd,d1t01,4
261,raitt1980-08-08d1t01.flac,flac,raitt,notfound,1980-08-08 00:00:00,yyyy-mm-dd,d1t01,4
406,dgbx2016-06-11t01.flac,flac,dgbx,notfound,2016-06-11 00:00:00,yyyy-mm-dd,t01,4
2776,mccartney2016-07-13.mk6.edtyre.t01.flac,flac,mccartney,notfound,2016-07-13 00:00:00,yyyy-mm-dd,mk6.edtyre.t01,4
367,deanmonkey&amp;thedropouts2016-02-19t01.ca14s.omnis.16bit.flac,flac,deanmonkey&amp;thedropouts,notfound,2016-02-19 00:00:00,yyyy-mm-dd,t01.ca14s.omnis.16bit,4
412,aaronkamm2016-07-01.mk4.psp2.zoomf8.24bit-t01.flac,flac,aaronkamm,notfound,2016-07-01 00:00:00,yyyy-mm-dd,mk4.psp2.zoomf8.24bit-t01,4
411,aaronkamm2016-07-01.mk4.psp2.zoomf8.16bit-t01.flac,flac,aaronkamm,notfound,2016-07-01 00:00:00,yyyy-mm-dd,mk4.psp2.zoomf8.16bit-t01,4
410,cleverlys2016-06-11t01.flac,flac,cleverlys,notfound,2016-06-11 00:00:00,yyyy-mm-dd,t01,4
409,strgdstrs2016-06-12t01.flac,flac,strgdstrs,notfound,2016-06-12 00:00:00,yyyy-mm-dd,t01,4
408,fl2016-06-12t01.flac,flac,fl,notfound,2016-06-12 00:00:00,yyyy-mm-dd,t01,4
407,er2016-06-12t01.flac,flac,er,notfound,2016-06-12 00:00:00,yyyy-mm-dd,t01,4
