ID,Sample File Name,Source
599745,01)  Take The A Train.flac,DimeaDozen
599750,00.Show Start.flac,DimeaDozen
599752,07. Communication Breakdown.flac,DimeaDozen
599753,00.Show Starts.flac,DimeaDozen
599754,01.flac,DimeaDozen
599755,101.Train Kept A Rollin'.flac,DimeaDozen
599756,LTB 345 - NPM - La Petite Pierre - 12 Aug 2017 Tr01.flac,DimeaDozen
599757,"Yngwie 2017-06-10 Houston, TX19.flac",DimeaDozen
599759,01 (01) Gil Scott-Heron's Midnight Band - Intro.flac,DimeaDozen
599760,01 Overture.flac,DimeaDozen
599761,104 It's My Life.flac,DimeaDozen
599767,01 Intro.flac,DimeaDozen
599768,01_92-08-intro-tawn_mastrey.flac,DimeaDozen
599770,Track_01.flac,DimeaDozen
599771,Track_01.flac,DimeaDozen
599772,01 Out Of Control.flac,DimeaDozen
599775,- Track01 Take The A Train.flac,DimeaDozen
599776,"Vintage Trouble 2014-09-28 Hollow Bar + Kitchen, Albany, NY17.flac",DimeaDozen
599777,01 - Unknown suite.flac,DimeaDozen
599778,Interpol_Lille_20041124_01_Intro.flac,DimeaDozen
599779,Track_01.flac,DimeaDozen
599780,Track_01.flac,DimeaDozen
599784,"d3t01-Come On Baby, Let's Go Downtown, Cincinnati, 1970-02-25.flac",DimeaDozen
599785,101 - The Train Kept-A-Rollin'.flac,DimeaDozen
599786,01 Intro.flac,DimeaDozen
599787,jh1997-09-20early-t01.flac,DimeaDozen
599789,jh1997-09-20late-t01.flac,DimeaDozen
599790,Track01.flac,DimeaDozen
599791,20 - [encore intro].flac,DimeaDozen
599792,HoA20170128t1.flac,DimeaDozen
599793,lp4-20170128s1t0.flac,DimeaDozen
599794,01-INTRO.flac,DimeaDozen
599795,IanAnderson 2017-07-29_DI_t01.flac,DimeaDozen
599796,nina hagen_1983_11_30_mannheim_track_24.flac,DimeaDozen
599797,101. Train Kept a Rollin'.flac,DimeaDozen
599800,Track_01.flac,DimeaDozen
599801,10 - [encore intro].flac,DimeaDozen
599802,"Type O Negative 2007-06-16 Glauchau, Germany13.flac",DimeaDozen
599804,01 - 01.  Tuning and Intro - Unknown Artist.flac,DimeaDozen
599805,19-Encore Break.flac,DimeaDozen
599806,bht2007-07-04set1t01.flac,DimeaDozen
599808,01 Born In The USA.flac,DimeaDozen
599809,101 the train kept a-rollin'.flac,DimeaDozen
599810,03.flac,DimeaDozen
599817,bht2005-12-30set1t01.flac,DimeaDozen
599818,101 Train Kept A Rollin'.flac,DimeaDozen
599819,03.flac,DimeaDozen
599822,06 Secret Agent Man.flac,DimeaDozen
599823,06 Texarkana To Panama City.flac,DimeaDozen
599825,01. Guy Clark BBC Session Intro.flac,DimeaDozen
599827,17 Mystery Train.flac,DimeaDozen
599831,Cheap Trick Phoenix (01) intro.flac,DimeaDozen
599834,01 announcement mats gustafsson 00-51.flac,DimeaDozen
599836,01 unknown title 25-09.flac,DimeaDozen
599837,quireboys2017-04-23at933t01.flac,DimeaDozen
599840,16:44.70      177270284 B   ---   --   ---xx   flac  0.5889  WayOutWest2017-08-12t01.flac,DimeaDozen
599848,ShirleyHolmes-Kassel-2017-08-26-t01.flac,DimeaDozen
599849,LeFly-Kassel-2017-08-26-t01.flac,DimeaDozen
599850,Hexvessel 2017-07-28_t01.flac,DimeaDozen
599851,00. Pre-Show Music.flac,DimeaDozen
